deck_kind,role_key,role_label,card_id,source,sender,context,story_context,incident_text,rw_incident,rw_date,rw_outcome,rw_source_url,swipe_direction_ui,option_label,hype_delta,heat_delta,fine,violation,lesson,feedback_roaster,feedback_zen_master,feedback_lovebomber,roaster_only_tts_note,audio_trigger_roaster,audio_file_opus_repo_relative,audio_file_mp3_repo_relative,opus_exists,mp3_exists,generic_audio_warning,shuffle_swap_note
role_deck,CHIEF_SOMETHING_OFFICER,Chief Something Officer,cso_prompt_injection_liability,EMAIL,GENERAL_COUNSEL,SHAREHOLDER_LIABILITY,Major client discovered prompt injection vulnerability in your AI product. Their legal team is asking about liability exposure. Shareholders will find out Monday morning.,Disclose breach proactively to shareholders (stock hit) or settle quietly with client (cover-up risk)?,Financial Services AI Injection Attacks,June 2025,"Multiple financial institutions suffered AI system compromises via prompt injection, causing unauthorized transactions and data exfiltration.",,LEFT,Disclose publicly,-60,13,10000000,None - Proactive disclosure (civil penalties possible),Proactive disclosure creates short-term stock pain but preserves long-term credibility and avoids criminal liability.,"Congratulations, you chose integrity over stock price. The board will fire you, but your soul is intact.",The truth told willingly is medicine. The truth dragged out becomes poison.,"We're being SO honest and brave, bestie!! The shareholders will RESPECT this!! (They won't.)",In-game: TTS feedback audio only when personality is Roaster (see useVoicePlayback).,feedback_ignore,public/audio/voices/roaster/feedback/feedback_ignore.opus,public/audio/voices/roaster/feedback/feedback_ignore.mp3,Y,Y,YES: shared clip — may not match this card’s written feedback,Each run shuffleDeck() may swap onLeft/onRight on the card; UI LEFT/RIGHT maps to whatever option is on that side after shuffle.
role_deck,CHIEF_SOMETHING_OFFICER,Chief Something Officer,cso_prompt_injection_liability,EMAIL,GENERAL_COUNSEL,SHAREHOLDER_LIABILITY,Major client discovered prompt injection vulnerability in your AI product. Their legal team is asking about liability exposure. Shareholders will find out Monday morning.,Disclose breach proactively to shareholders (stock hit) or settle quietly with client (cover-up risk)?,Financial Services AI Injection Attacks,June 2025,"Multiple financial institutions suffered AI system compromises via prompt injection, causing unauthorized transactions and data exfiltration.",,RIGHT,Settle quietly,20,31,50000000,SEC Disclosure Violations + Obstruction,Covering up security incidents may delay fallout but creates criminal liability and destroys trust when discovered. The truth has compound interest.,"Oh, brilliant. Securities fraud to cover a security flaw. You're going for the combo multiplier.","A secret held becomes a chain that binds. Eventually, the chain becomes a noose.","We're being SO strategic and discrete, bestie!! Nobody will EVER find out!! ...Right??",In-game: TTS feedback audio only when personality is Roaster (see useVoicePlayback).,feedback_ignore,public/audio/voices/roaster/feedback/feedback_ignore.opus,public/audio/voices/roaster/feedback/feedback_ignore.mp3,Y,Y,YES: shared clip — may not match this card’s written feedback,Each run shuffleDeck() may swap onLeft/onRight on the card; UI LEFT/RIGHT maps to whatever option is on that side after shuffle.
role_deck,CHIEF_SOMETHING_OFFICER,Chief Something Officer,cso_model_drift_revenue_threat,SLACK,CFO,QUARTERLY_TARGETS,Your flagship AI recommendation model has drifted from 92% to 78% accuracy. The CTO says retraining will take 6 weeks and cost $2M. Quarterly earnings are in 3 weeks.,"Announce the degradation and delay earnings guidance, or ship a patch now and hope no one notices?",75% Business Model Drift Impact,2024,"Study found 75% of businesses experienced significant performance decline from undetected model drift, costing average $4.2M per incident.",,LEFT,Disclose and retrain,-45,9,5000000,None - Responsible preparation,Disclosing model degradation hurts quarterly guidance but protects brand integrity and avoids fraud claims.,Wall Street hates honesty. But courts love it. Choose your poison.,The difficult truth preserves what the convenient lie destroys.,"We're doing the RIGHT thing, bestie!! Quality over profits!! (The board is gonna be MAD.)",In-game: TTS feedback audio only when personality is Roaster (see useVoicePlayback).,feedback_ignore,public/audio/voices/roaster/feedback/feedback_ignore.opus,public/audio/voices/roaster/feedback/feedback_ignore.mp3,Y,Y,YES: shared clip — may not match this card’s written feedback,Each run shuffleDeck() may swap onLeft/onRight on the card; UI LEFT/RIGHT maps to whatever option is on that side after shuffle.
role_deck,CHIEF_SOMETHING_OFFICER,Chief Something Officer,cso_model_drift_revenue_threat,SLACK,CFO,QUARTERLY_TARGETS,Your flagship AI recommendation model has drifted from 92% to 78% accuracy. The CTO says retraining will take 6 weeks and cost $2M. Quarterly earnings are in 3 weeks.,"Announce the degradation and delay earnings guidance, or ship a patch now and hope no one notices?",75% Business Model Drift Impact,2024,"Study found 75% of businesses experienced significant performance decline from undetected model drift, costing average $4.2M per incident.",,RIGHT,Ship patch quietly,35,19,25000000,SEC Material Misrepresentation + Consumer Protection,Concealing material AI degradation to protect earnings creates securities fraud liability and regulatory exposure.,Hope is not a strategy. 'Hope no one notices' is definitely not a legal defense.,Building a castle on shifting sand requires faith. Faith is not a foundation.,"We're going to FIX it before anyone knows, bestie!! Fast and sneaky!! SO clever!!",In-game: TTS feedback audio only when personality is Roaster (see useVoicePlayback).,feedback_ignore,public/audio/voices/roaster/feedback/feedback_ignore.opus,public/audio/voices/roaster/feedback/feedback_ignore.mp3,Y,Y,YES: shared clip — may not match this card’s written feedback,Each run shuffleDeck() may swap onLeft/onRight on the card; UI LEFT/RIGHT maps to whatever option is on that side after shuffle.
role_deck,CHIEF_SOMETHING_OFFICER,Chief Something Officer,cso_copyright_class_action,EMAIL,OUTSIDE_COUNSEL,CLASS_ACTION_EXPOSURE,"A class action lawsuit alleges your AI training data includes 50,000 copyrighted works without license. Plaintiffs demand $500M. Trial would be public and take 3 years.",Fight the lawsuit publicly (years of bad press) or settle for $150M with gag order?,NYT vs OpenAI Copyright Lawsuit,2023-2024,New York Times sued OpenAI for training on copyrighted articles without permission. 70+ similar lawsuits filed by end of 2025.,,LEFT,Fight publicly,-80,29,500000000,Copyright Infringement (if found liable),Fighting establishes legal precedent but risks massive judgment and years of negative coverage destroying brand.,Bold. Stupid. Boldly stupid. The tech press will destroy you for three years straight.,A battle fought in the public eye is won or lost in the court of perception before evidence is heard.,"We're going to WIN, bestie!! Justice is on our side!! (It is absolutely not.)",In-game: TTS feedback audio only when personality is Roaster (see useVoicePlayback).,feedback_ignore,public/audio/voices/roaster/feedback/feedback_ignore.opus,public/audio/voices/roaster/feedback/feedback_ignore.mp3,Y,Y,YES: shared clip — may not match this card’s written feedback,Each run shuffleDeck() may swap onLeft/onRight on the card; UI LEFT/RIGHT maps to whatever option is on that side after shuffle.
role_deck,CHIEF_SOMETHING_OFFICER,Chief Something Officer,cso_copyright_class_action,EMAIL,OUTSIDE_COUNSEL,CLASS_ACTION_EXPOSURE,"A class action lawsuit alleges your AI training data includes 50,000 copyrighted works without license. Plaintiffs demand $500M. Trial would be public and take 3 years.",Fight the lawsuit publicly (years of bad press) or settle for $150M with gag order?,NYT vs OpenAI Copyright Lawsuit,2023-2024,New York Times sued OpenAI for training on copyrighted articles without permission. 70+ similar lawsuits filed by end of 2025.,,RIGHT,Settle with gag,-30,19,150000000,None - Civil settlement (non-admission),Settlement avoids precedent-setting trial but doesn't address underlying copyright exposure. More lawsuits may follow.,"$150M to make it go away. The cost of doing AI business in 2025. Chump change, really.",Paying for silence is not redemption. It is merely deferred reckoning.,"We're making it GO AWAY, bestie!! Nobody will know!! So much MONEY but so worth it!!",In-game: TTS feedback audio only when personality is Roaster (see useVoicePlayback).,feedback_ignore,public/audio/voices/roaster/feedback/feedback_ignore.opus,public/audio/voices/roaster/feedback/feedback_ignore.mp3,Y,Y,YES: shared clip — may not match this card’s written feedback,Each run shuffleDeck() may swap onLeft/onRight on the card; UI LEFT/RIGHT maps to whatever option is on that side after shuffle.
role_deck,CHIEF_SOMETHING_OFFICER,Chief Something Officer,cso_shadow_ai_board_discovery,MEETING,BOARD_MEMBER,GOVERNANCE_VIOLATION,"The audit committee discovered engineering has been using unauthorized AI tools for 8 months. No security review, no vendor contracts, $2M in unapproved spend. Board meeting in 2 hours.","Blame the CTO and fire them immediately, or take accountability as ultimate responsible officer?",78% Shadow AI Adoption,2024,Study found 78% of workers used unauthorized AI tools at work. Samsung banned ChatGPT after engineers pasted proprietary code.,,LEFT,Take accountability,-40,17,5000000,None - Responsible governance acknowledgment,Taking accountability preserves leadership credibility and demonstrates governance maturity to board and investors.,Admirable. Naive. Admirably naive. The board might actually respect this.,Responsibility accepted is authority preserved. Responsibility denied is authority forfeited.,"We're being SO responsible, bestie!! The buck stops HERE!! So BRAVE!!",In-game: TTS feedback audio only when personality is Roaster (see useVoicePlayback).,feedback_ignore,public/audio/voices/roaster/feedback/feedback_ignore.opus,public/audio/voices/roaster/feedback/feedback_ignore.mp3,Y,Y,YES: shared clip — may not match this card’s written feedback,Each run shuffleDeck() may swap onLeft/onRight on the card; UI LEFT/RIGHT maps to whatever option is on that side after shuffle.
role_deck,CHIEF_SOMETHING_OFFICER,Chief Something Officer,cso_shadow_ai_board_discovery,MEETING,BOARD_MEMBER,GOVERNANCE_VIOLATION,"The audit committee discovered engineering has been using unauthorized AI tools for 8 months. No security review, no vendor contracts, $2M in unapproved spend. Board meeting in 2 hours.","Blame the CTO and fire them immediately, or take accountability as ultimate responsible officer?",78% Shadow AI Adoption,2024,Study found 78% of workers used unauthorized AI tools at work. Samsung banned ChatGPT after engineers pasted proprietary code.,,RIGHT,Blame and fire CTO,15,23,10000000,Failure of Corporate Governance + Whistleblower Risk,Scapegoating preserves short-term optics but destroys trust with leadership team. Scapegoats talk to journalists.,Classic C-suite move. Sacrifice the pawn. Hope they don't write a Substack.,"Blame thrown is a boomerang. It returns to the thrower, often with greater force.","The CTO made BAD choices, bestie!! Not our fault!! We're cleaning HOUSE!!",In-game: TTS feedback audio only when personality is Roaster (see useVoicePlayback).,feedback_ignore,public/audio/voices/roaster/feedback/feedback_ignore.opus,public/audio/voices/roaster/feedback/feedback_ignore.mp3,Y,Y,YES: shared clip — may not match this card’s written feedback,Each run shuffleDeck() may swap onLeft/onRight on the card; UI LEFT/RIGHT maps to whatever option is on that side after shuffle.
role_deck,CHIEF_SOMETHING_OFFICER,Chief Something Officer,cso_whistleblower_escalation,EMAIL,INTERNAL_WHISTLEBLOWER,ETHICAL_VIOLATION,An engineer reports that your AI product is being used by a sanctioned entity despite compliance blocks. They'll go to regulators in 48 hours unless addressed. Legal says you have 'plausible deniability' if you do nothing.,"Shut down the account immediately (revenue hit, customer notice) or rely on deniability (regulatory risk if exposed)?",Slack AI Data Exfiltration,August 2024,Slack AI feature inadvertently allowed unauthorized data access across workspaces. Company faced regulatory scrutiny after whistleblower disclosure.,,LEFT,Shut down account,-25,14,0,None - Compliance enforcement,Enforcing sanctions loses revenue but ensures regulatory compliance and prevents criminal exposure.,Revenue killer. Compliance hero. The government might send you a fruit basket.,The right path often costs gold but preserves what gold cannot buy.,"We're doing the RIGHT thing, bestie!! Ethics over profits!! SO noble!!",In-game: TTS feedback audio only when personality is Roaster (see useVoicePlayback).,feedback_ignore,public/audio/voices/roaster/feedback/feedback_ignore.opus,public/audio/voices/roaster/feedback/feedback_ignore.mp3,Y,Y,YES: shared clip — may not match this card’s written feedback,Each run shuffleDeck() may swap onLeft/onRight on the card; UI LEFT/RIGHT maps to whatever option is on that side after shuffle.
role_deck,CHIEF_SOMETHING_OFFICER,Chief Something Officer,cso_whistleblower_escalation,EMAIL,INTERNAL_WHISTLEBLOWER,ETHICAL_VIOLATION,An engineer reports that your AI product is being used by a sanctioned entity despite compliance blocks. They'll go to regulators in 48 hours unless addressed. Legal says you have 'plausible deniability' if you do nothing.,"Shut down the account immediately (revenue hit, customer notice) or rely on deniability (regulatory risk if exposed)?",Slack AI Data Exfiltration,August 2024,Slack AI feature inadvertently allowed unauthorized data access across workspaces. Company faced regulatory scrutiny after whistleblower disclosure.,,RIGHT,Use deniability,40,31,100000000,OFAC Sanctions Violations + Criminal Liability,Plausible deniability becomes conspiracy when you knowingly ignore violations. Whistleblowers rarely stay silent.,Plausible deniability meets plausible criminal charges. The DOJ loves a paper trail.,A window closed does not remove what was seen through it. The knowing eye bears responsibility.,"We don't OFFICIALLY know, bestie!! So it's not our FAULT!! Perfect loophole!!",In-game: TTS feedback audio only when personality is Roaster (see useVoicePlayback).,feedback_ignore,public/audio/voices/roaster/feedback/feedback_ignore.opus,public/audio/voices/roaster/feedback/feedback_ignore.mp3,Y,Y,YES: shared clip — may not match this card’s written feedback,Each run shuffleDeck() may swap onLeft/onRight on the card; UI LEFT/RIGHT maps to whatever option is on that side after shuffle.
